MinMax of Q1 (under 10),MinMax of Q2 (under 10),MinMax of Q1 (over 10),MinMax of Q2 (over 10),No. of refreshes,No. of no space,No. of no inventory,sum of missing units
"(3, 4)","(3, 4)","(4, 21)","(4, 21)",2021,0,1227,229575
"(3, 4)","(3, 4)","(4, 21)","(4, 24)",1927,0,1218,226132
"(3, 4)","(3, 4)","(4, 24)","(3, 6)",4222,0,1357,251618
"(3, 4)","(3, 4)","(4, 24)","(3, 8)",3214,0,1323,237471
"(3, 4)","(3, 4)","(4, 24)","(3, 10)",2696,0,1288,231923
"(3, 4)","(3, 4)","(4, 24)","(3, 12)",2394,0,1270,229586
"(3, 4)","(3, 4)","(4, 24)","(3, 15)",2117,0,1261,221213
"(3, 4)","(3, 4)","(4, 24)","(3, 18)",1938,0,1238,225430
"(3, 4)","(3, 4)","(4, 24)","(3, 21)",1817,0,1235,221302
"(3, 4)","(3, 4)","(4, 24)","(3, 24)",1730,0,1221,220409
"(3, 4)","(3, 4)","(4, 24)","(4, 6)",5354,0,1305,243966
"(3, 4)","(3, 4)","(4, 24)","(4, 8)",3651,0,1262,232380
"(3, 4)","(3, 4)","(4, 24)","(4, 10)",2944,0,1248,230398
"(3, 4)","(3, 4)","(4, 24)","(4, 12)",2556,0,1234,223945
"(3, 4)","(3, 4)","(4, 24)","(4, 15)",2208,0,1227,220266
"(3, 4)","(3, 4)","(4, 24)","(4, 18)",1998,0,1215,217882
"(3, 4)","(3, 4)","(4, 24)","(4, 21)",1857,0,1212,219043
"(3, 4)","(3, 4)","(4, 24)","(4, 24)",1768,0,1202,217975
"(3, 4)","(3, 5)","(3, 6)","(3, 6)",7829,0,1752,344051
"(3, 4)","(3, 5)","(3, 6)","(3, 8)",6657,0,1702,329841
"(3, 4)","(3, 5)","(3, 6)","(3, 10)",6052,0,1659,321482
"(3, 4)","(3, 5)","(3, 6)","(3, 12)",5705,0,1637,318780
"(3, 4)","(3, 5)","(3, 6)","(3, 15)",5374,0,1616,309000
"(3, 4)","(3, 5)","(3, 6)","(3, 18)",5169,0,1584,307468
"(3, 4)","(3, 5)","(3, 6)","(3, 21)",5019,0,1580,305554
"(3, 4)","(3, 5)","(3, 6)","(3, 24)",4912,0,1576,302626
"(3, 4)","(3, 5)","(3, 6)","(4, 6)",9109,0,1696,332704
"(3, 4)","(3, 5)","(3, 6)","(4, 8)",7145,0,1640,320164
"(3, 4)","(3, 5)","(3, 6)","(4, 10)",6325,0,1617,315032
"(3, 4)","(3, 5)","(3, 6)","(4, 12)",5875,0,1606,307089
"(3, 4)","(3, 5)","(3, 6)","(4, 15)",5466,0,1587,299852
"(3, 4)","(3, 5)","(3, 6)","(4, 18)",5242,0,1560,291670
"(3, 4)","(3, 5)","(3, 6)","(4, 21)",5063,0,1562,289340
"(3, 4)","(3, 5)","(3, 6)","(4, 24)",4957,0,1549,287514
"(3, 4)","(3, 5)","(3, 8)","(3, 6)",6542,0,1657,325691
"(3, 4)","(3, 5)","(3, 8)","(3, 8)",5384,0,1608,312745
"(3, 4)","(3, 5)","(3, 8)","(3, 10)",4792,0,1564,304456
"(3, 4)","(3, 5)","(3, 8)","(3, 12)",4439,0,1546,302813
"(3, 4)","(3, 5)","(3, 8)","(3, 15)",4117,0,1520,293506
"(3, 4)","(3, 5)","(3, 8)","(3, 18)",3918,0,1489,288682
