SKU_ID,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22
AS010048,1,1,,3,2,1,2,1,1,1,1,3,2,2,4,2
AS010051,,1,,,1,,,,,,,,0,0,1,0
AS010052,7,8,7,5,9,7,6,7,5,6,6,7,8,7,9,5
AS010056,,,,,1,1,,,,,,,1,1,1,1
AS010058,3,7,7,4,7,4,6,4,2,5,2,2,3,3,2,2
AS010060,1,,1,,,,2,,,,,,0,0,1,1
AS010061,,,,,,,1,,1,3,1,1,0,0,1,0
AS010062,,,,,1,,1,,,,,,0,0,0,0
AS010063,,,,,,,,1,,,,1,1,0,1,2
AS010064,,,,1,1,1,,,,,,,0,0,0,0
AS010069,3,1,1,1,4,1,2,,1,2,,,1,3,2,1
AS010071,,,1,,,1,,1,,,2,1,0,0,2,0
AS010073,,,,,1,,1,1,1,,2,,0,0,0,0
AS010076,3,2,4,2,1,5,4,3,2,3,3,3,3,4,3,3
AS010077,,,,,,1,,2,,,,1,0,1,1,1
AS010078,4,3,4,2,3,3,2,1,2,1,1,4,2,2,2,4
AS010079,1,3,1,2,,2,1,2,,3,2,1,1,2,1,3
AS010080,,,,,,,,,,,1,,0,0,0,0
AS010081,3,3,2,1,3,1,1,3,2,3,4,1,1,3,4,3
AS010082,,,,1,,,1,,,,,,0,0,0,0
AS010085,10,4,6,4,8,6,7,7,5,5,5,5,7,4,6,4
AS010086,9,3,7,4,5,5,4,6,4,5,6,5,6,6,5,4
AS010088,3,1,3,3,2,2,2,2,2,2,2,3,3,5,6,3
AS010090,5,4,4,5,4,4,5,5,3,6,3,6,5,5,4,3
AS010091,3,1,3,2,1,3,2,3,2,2,1,4,2,4,3,2
AS010092,,,,,2,,,,,,1,,1,0,1,0
AS010126,5,5,5,5,5,5,5,7,4,5,7,7,6,6,5,6
AS010164,,,,,,,1,,,,,,0,0,0,1
AS010171,1,,,,,,,,,,,,0,0,0,0
AS010177,2,1,1,3,5,2,3,4,3,4,4,2,1,2,3,1
AS010182,8,6,9,10,9,9,8,10,9,7,7,7,9,7,7,9
AS020002,4,5,4,5,5,5,6,3,4,4,4,5,4,5,4,2
AS030001,1,1,,2,1,2,1,2,1,,,1,0,1,0,0
AS030002,,1,,1,1,1,2,1,,1,,2,1,1,1,2
AS030003,,,,,1,,,,,,,,0,0,0,0
AS030011,,,2,4,4,3,4,4,2,3,6,5,6,4,7,4
AS030012,,1,,,,,,1,,,,,0,0,0,0
AS030026,2,2,4,1,2,2,2,1,4,2,2,2,2,3,3,2
AS030039,,1,,,,,1,1,,,1,1,0,1,0,0
AS030048,,,,,,,2,2,1,1,,2,0,1,0,1
AS040007,1,,1,1,1,2,,2,1,,2,1,2,2,2,2
AS040008,2,1,1,1,,1,3,2,1,2,3,1,3,2,3,2
AS040009,3,2,3,3,1,3,4,3,2,2,5,4,3,5,4,4
AS040010,1,1,,1,3,1,2,2,1,2,3,3,3,1,6,2
AS040011,,1,2,,1,1,1,2,1,,2,1,0,2,2,2
AS040020,,1,1,2,3,3,2,2,2,2,3,2,4,2,3,3
AS040021,4,,3,2,4,6,3,4,2,4,4,5,6,4,3,4
AS040022,5,4,3,3,3,4,5,4,4,3,4,4,4,3,4,4
AS040023,5,4,2,2,3,6,3,4,3,6,5,4,4,3,4,4
AS040024,7,5,4,3,6,5,7,6,3,7,9,8,6,5,8,6
AS040025,4,1,2,3,4,5,3,2,1,5,4,3,4,3,4,3
AS040027,1,1,2,,1,,,,,2,,1,3,0,1,2
AS040028,,,,,,,,,,,,1,0,0,1,0
AS040029,2,2,4,3,1,,3,1,1,2,2,2,3,1,2,1
AS040030,,2,2,1,1,2,4,1,1,2,2,1,1,2,1,2
AS040031,,1,,1,,1,1,1,,2,2,3,1,1,2,1
AS040043,6,4,4,5,5,2,6,7,3,3,4,5,4,3,5,4
AS040044,5,3,4,2,4,5,6,4,2,7,6,4,5,3,4,4
AS040045,5,5,5,4,4,6,3,15,8,13,13,8,11,1,3,3
AS040048,1,,1,,1,1,2,2,1,,3,1,1,0,5,2
AS040049,,,,,,,,,,,1,,2,1,1,1
AS040050,,,,,,,,1,,1,,,0,1,0,0
AS040051,9,7,7,1,1,,,1,1,2,1,,2,2,1,0
AS040052,,,1,,1,1,1,,1,,,,1,0,0,0
AS040054,3,2,3,3,3,4,2,5,3,7,6,5,8,9,6,6
AS040055,1,,,2,,1,1,1,,3,,1,1,2,1,0
AS040061,4,3,2,2,3,1,5,1,2,2,1,2,3,1,3,3
AS040063,1,1,1,,2,1,,2,1,1,2,1,1,1,1,1
AS040065,12,8,10,9,11,6,6,6,2,2,7,5,6,5,5,4
AS040068,,,,,,,1,1,,,2,1,0,2,1,1
AS040087,9,7,5,4,3,7,8,5,6,8,7,9,8,8,6,7
AS040093,1,1,,1,1,3,,1,1,,2,,0,0,1,1
AS040094,1,1,1,2,,3,1,1,1,1,2,1,2,1,1,2
AS040095,4,2,4,2,3,3,3,4,2,2,2,4,5,3,3,3
AS040101,1,2,,,,1,,,1,,1,1,1,1,1,0
AS040114,,1,,,1,,1,2,,1,1,2,1,1,1,1
AS040119,4,,3,3,2,2,3,3,2,2,4,3,4,3,3,4
AS040123,4,2,5,1,3,2,4,3,,,,1,1,1,1,1
AS040124,,1,1,,1,,1,,,1,1,,2,0,1,1
AS040143,2,,,,,,,,,,,,0,0,0,0
AS050001,,,,2,,,,,,2,1,,1,1,1,0
AS050002,5,2,6,4,5,5,4,6,4,4,6,6,6,4,5,5
AS050003,6,5,7,5,7,6,7,6,6,5,6,7,6,6,7,6
AS050005,2,1,2,2,3,4,3,3,3,2,3,3,3,3,4,2
AS050007,,1,1,2,2,1,,2,1,2,,2,1,2,2,2
AS050008,,,,,,1,,,,,,,0,0,0,0
AS050009,1,1,,,1,1,,,,,1,1,0,0,1,0
AS050023,5,2,2,2,4,4,5,7,2,3,4,4,4,3,4,3
AS050024,2,2,3,4,2,2,3,4,1,4,3,2,2,2,4,2
AS050025,3,2,1,2,1,2,2,1,2,,2,2,1,1,3,1
AS050026,1,1,,1,,2,,,,2,,,0,0,0,0
AS050029,3,3,4,4,2,,,,,,,,0,0,0,0
AS050033,,,,,,,1,,,,1,,0,0,0,0
